prefLabel,gehört dazu?,Verschieben in,Kommentar,Definitionsvorschlag,altLabel
Abgeordneter,1,,,gewähltes Mitglied einer Repräsentativvertretung,
Ackerbauminister,1,,ks,,
Banus,1,,,,
Bergrat,?,,,,
Bürgermeister,1,,,,
Chef der Marinesektion im Reichskriegsministerium,1,,,,
Deutscher Landsmannminister,1,,,,
Direktor,1,,,,
Direktor der Zweigstelle,1,,,,
Direktor-Stellvertreter,1,,,,
Eisenbahnminister,1,,ks,,
Leiter des Ernährungsamt,1,,,,
Feldmarschallleutnant,1,,,,
Feldzeugmarschall,1,,dubios,,
Feldzeugmeister,1,,,,
Finanzbezirksdirektor,1,,,,
Finanzdirektor,1,,,,
Finanzlandesdirektor,1,,,,
Finanzlandesdirektor Stv.,1,,,,
Finanzminister,1,,ks,,
Finanzsekretär,1,,,,
Finanzwachoberrespizient,1,,,,
General,1,,,,
Generaladjutant,1,,,,
Generaldirektor,1,,,,
Generaloberst,1,,,,
Generalsekretär,1,,,,
Gesandter,1,,,,
Gouverneur,1,,,,
Handelsminister,1,,,,
Hilfsämteroberdirektor,1,,,,
Hüttmeister der k.k. Saline,1,,,,
Innenminister,1,,,,
Inspektor,1,,,,
Justizminister,1,,,,
Kabinettskanzleidirektor,1,,Enderlin-Mahr,,
Kabinettssekretär,1,,,,
Kämmerer,1,,"Mata, Vogeler",,
Kammervorsteherin,1,,,,
Kontrollor,1,,,,
Konzipist,1,,,,
Kreisgerichtspräsident,1,,,,
Kriegsminister,1,,,,
Landeshauptmann,1,,,,
Landespräsident,1,,,,
Landesverweser,1,,,,
Landmarschall-Stellvertreter,1,,,,
Magistralsekretär des Malteser-Ritter-Ordens,1,,,,
Major,1,,,,
Minister,1,,"Differenzierung bei M ohne Portfeuille
",,
Minister des kaiserlichen und königlichen Hauses und des Äußeren,1,,,,
Minister für Kultus und Unterricht,1,,,,
Minister für Landesverteidigung,1,,,,
Minister für Öffentliche Arbeiten,1,,,,
Minister für soziale Fürsorge,1,,,,
Minister für Volksernährung,1,,,,
Minister für Volksgesundheit,1,,,,
Minister ohne Geschäftsbereich,1,,,,
Ministerialrat,1,,,,
Ministerialsekretär,1,,,,
Ministerpräsident,1,,,,
Mitglied Herrenhaus,1,,,,
Oberinspektor,1,,,,
Oberkontrollor,1,,,,
Oberlandesgerichts-Präsident,1,,,,
Oberleutnant,1,,,,
Oberst,1,,,,
Obersten,1,,,,
Obersthofmeister,1,,,,
Ortsvorsteher,1,,Bürgermeister,,
PostadjunktIn,1,,,,
Präsident,1,,,,
Regierungsrat,1,,,,
Reichs-Kriegsminister,1,,,,
Reichsfinanzminister,1,,,,
"Reichsratsabgeordneter
",1,,,,
Reichsratspräsident,1,,,,
Rittmeister,1,,,,
Sektionschef,1,,Titel vs Charakter,,
Slowenischer Landmannminister,1,,,,
Staatsminister für Galizien,1,,,,
Staatsratspräsident,1,,,,
Statthalter,1,,,,
Steuerlandesinspektor,1,,,,
Tschechischer Landsmannminister,1,,,,
Unterrichtsminister,1,,,,
Vizeadmiral,1,,,,
Vizepräsident,1,,,,
Zentralinspektor,1,,,,
Zolloberinspektor,1,,,,
Diplomat,"
?",,,,
Abt,-,Workshop Kirche,,,
Architekt,-,,,,
Exzellenz,-,,,,
Freien,-,,,,
Freiherr von,-,,,,
Freiherr/Freifrau,-,,,,
Fürst/in,-,,,,
Fürst/in von,-,,,,
Fürstbischof,-,Kirche,,,
Fürsterzbischof,-,Kirche,,,
Gesellschafter,-,,,,
Graf/Gräfin,-,,,,
Graf/Gräfin von,-,,,,
Großgrundbesitzer,-,,,,
Großhändler,-,,Berufsbezeichnung,,
Großindustrieller,-,,Berufsbezeichnung,,
Hauses,-,,,,
Herausgeber,-,,Berufsbezeichnung,,
in Vertretung,-,,,,
Industrieller,-,,,,
Journalist,-,,Berufsbezeichnung,,
Jurist,-,,Berufsbezeichnung,,
Kardinal,-,Kirche,,,
Kardinal und Erzbischof von Prag,-,Kirche,,,
Kavallerie,-,,,,
Komponist,-,,Berufsbezeichnung,,
leitender Mitarbeiter,-,,,,
Mit-Chef,-,,,,
Mitarbeiter,-,,,,
Physiker,-,,Berufsbezeichnung,,
Presse,-,,,,
Rechnungshofes,-,,,,
Redakteur,-,,,,
Redakteur I. Klasse,-,,,,
Ritter,-,,,,
Ritter von,-,,,,
Ritter von,-,,,,
Schriftsteller,-,,Berufsbezeichnung,,
Sekretär,-,,,,
Staatsarchives,-,,,,
Staatsbahnen,-,,,,
Staatsschulden-Kommission,-,,,,
Stifts,-,Kirche,,,
technischen Versuchsamtes,-,,,,
Titel eines Sektionschefs,-,,,,
Titel und Charakter eines Sektionschefs,-,,,,
Träger/in von,-,,,,
Vertreter von,-,,,,
Verwaltungsgerichtshofes,-,,,,
von,-,,,,
Ausschussmitglied des Mozarteums,?,"
",,,
Beamte,?,,,,
Chef,?,,,,
Fachreferent,?,,Funktionsbezeichnung in Bezug auf ein Gremium,,
Finanzrat,?,,,,
Geheimer Rat,?,,auch Funktionsbezeichnung,,
Geheimrat,?,,auch Funktionsbezeichnung; =Geheimer Rat,,
Generalinspektor,?,,,,
Gerichtsadvokat,?,,Berufsbezeichnung? Kommt er im Staatshandbuch vor?,,
Gremialrat,?,,,,
Gutsbesitzer,?,,,,
Hausinspektor,?,,,,
Hofrat,?,,,,
Ingenieur,?,,Berufsbezeichnung; Titel,,
Kommerzialrat,?,,,,
Leiter,?,,,,
Leiter Ackerbauministerium,?,,,,
Leiter des Ministeriums des kaiserlichen Hauses und des Äußeren,?,,,,
Leiter des Ministeriums für Landesverteidigung,?,,,,
Leiter des Reichsfinanzministeriums,?,,,,
Leiter des Unterrichtsministeriums,?,,,,
Leiter Handelsministerium,?,,,,
Leiter Innenministerium,?,,,,
Leiter Justizministerium,?,,,,
Leiter Ministerium für Ackerbau (?),?,,,,
Leiter Ministerium für Landesverteidigung,?,,,,
Leiter Staatsministerium für Galizien,?,,,,
Leiter Unterrichtsministerium,?,,,,
Mitglied,?,,,,
Oberbergrat,?,,,,
Oberfinanzrat,?,,,,
Oberlandesgerichtsrat,?,,,,
Oberrechnungsrat,?,,,,
Offizier,?,,,,
Politiker,?,,,,
Präsident des Generalrates,?,,,,
Professor,?,,Titel und Beruf,,
Prokurator,?,,,,
Prokurist,?,,,,
Rat,?,,,,
Rechtsprofessor,?,,,,
Sektionsrat,?,,,,
Statthaltereirat,?,,,,
Vorstand,?,,,,
Wirtschaftskommissär,?,,,,
interimistischer Leiter,"?
",,,,
,,,,,
,,,,,
,,,,,
Bahnoffiziant,,,,,